table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),
Geographic Area,Population
".Bear Lake County, Idaho","6,044"
".Benewah County, Idaho","9,218"
".Bingham County, Idaho","46,129"
".Blaine County, Idaho","22,771"
".Boise County, Idaho","7,655"
".Bonner County, Idaho","44,705"
".Bonneville County, Idaho","116,444"
".Boundary County, Idaho","12,016"
".Butte County, Idaho","2,587"
".Camas County, Idaho","1,121"
".Canyon County, Idaho","223,236"
".Caribou County, Idaho","7,037"
".Cassia County, Idaho","23,791"
".Clark County, Idaho",851
".Clearwater County, Idaho","8,758"
".Custer County, Idaho","4,250"
".Elmore County, Idaho","27,362"
".Franklin County, Idaho","13,704"
".Fremont County, Idaho","13,155"
".Gem County, Idaho","17,587"
".Gooding County, Idaho","15,116"
".Idaho County, Idaho","16,476"
".Jefferson County, Idaho","29,405"
".Jerome County, Idaho","24,066"
".Kootenai County, Idaho","161,209"
".Latah County, Idaho","39,829"
".Lemhi County, Idaho","7,932"
".Lewis County, Idaho","3,832"
".Lincoln County, Idaho","5,398"
".Madison County, Idaho","39,261"
".Minidoka County, Idaho","20,719"
".Nez Perce County, Idaho","40,256"
".Oneida County, Idaho","4,462"
".Owyhee County, Idaho","11,669"
".Payette County, Idaho","23,507"
".Power County, Idaho","7,700"
".Shoshone County, Idaho","12,790"
".Teton County, Idaho","11,651"
".Twin Falls County, Idaho","86,029"
".Valley County, Idaho","11,021"
".Washington County, Idaho","10,115"
".Adams County, Illinois","65,623"
".Alexander County, Illinois","6,041"
".Bond County, Illinois","16,637"
".Boone County, Illinois","53,480"
".Brown County, Illinois","6,563"
".Bureau County, Illinois","32,959"
".Calhoun County, Illinois","4,829"
".Carroll County, Illinois","14,314"
".Cass County, Illinois","12,312"
".Champaign County, Illinois","209,918"
".Christian County, Illinois","32,653"
".Clark County, Illinois","15,600"
".Clay County, Illinois","13,266"
".Clinton County, Illinois","37,697"
".Coles County, Illinois","50,829"
".Cook County, Illinois","5,171,960"
".Crawford County, Illinois","18,830"
".Cumberland County, Illinois","10,804"
".DeKalb County, Illinois","104,349"
".De Witt County, Illinois","15,794"
".Douglas County, Illinois","19,458"
".DuPage County, Illinois","927,247"
".Edgar County, Illinois","17,360"
".Edwards County, Illinois","6,387"
".Effingham County, Illinois","34,181"
".Fayette County, Illinois","21,368"
".Ford County, Illinois","13,212"
".Franklin County, Illinois","38,695"
".Fulton County, Illinois","34,830"
".Gallatin County, Illinois","5,045"
".Greene County, Illinois","13,065"
".Grundy County, Illinois","50,973"
".Hamilton County, Illinois","8,148"
".Hancock County, Illinois","17,828"
".Hardin County, Illinois","3,893"
".Henderson County, Illinois","6,697"
".Henry County, Illinois","49,069"
".Iroquois County, Illinois","27,484"
".Jackson County, Illinois","57,289"
".Jasper County, Illinois","9,624"
".Jefferson County, Illinois","37,708"
".Jersey County, Illinois","21,795"
".Jo Daviess County, Illinois","21,331"
".Johnson County, Illinois","12,423"
".Kane County, Illinois","532,720"
".Kankakee County, Illinois","109,953"
".Kendall County, Illinois","127,717"
".Knox County, Illinois","49,978"
".Lake County, Illinois","699,587"
".LaSalle County, Illinois","109,159"
".Lawrence County, Illinois","15,813"
".Lee County, Illinois","34,296"
".Livingston County, Illinois","35,714"
".Logan County, Illinois","28,912"
".McDonough County, Illinois","29,984"
".McHenry County, Illinois","308,251"
".McLean County, Illinois","172,410"
".Macon County, Illinois","104,504"
".Macoupin County, Illinois","45,318"
".Madison County, Illinois","264,026"
".Marion County, Illinois","37,381"
".Marshall County, Illinois","11,483"
".Mason County, Illinois","13,533"
".Massac County, Illinois","14,023"
".Menard County, Illinois","12,289"
".Mercer County, Illinois","15,551"
".Monroe County, Illinois","34,373"
".Montgomery County, Illinois","28,691"
".Morgan County, Illinois","34,027"
".Moultrie County, Illinois","14,648"
".Ogle County, Illinois","50,781"
".Peoria County, Illinois","180,620"
".Perry County, Illinois","21,144"
".Piatt County, Illinois","16,366"
".Pike County, Illinois","15,595"
".Pope County, Illinois","4,184"
".Pulaski County, Illinois","5,434"
".Putnam County, Illinois","5,736"
".Randolph County, Illinois","32,177"
".Richland County, Illinois","15,695"
".Rock Island County, Illinois","142,621"
".St. Clair County, Illinois","261,360"
".Saline County, Illinois","23,789"
".Sangamon County, Illinois","195,639"
".Schuyler County, Illinois","6,870"
".Scott County, Illinois","4,927"
".Shelby County, Illinois","21,726"
".Stark County, Illinois","5,418"
".Stephenson County, Illinois","44,797"
".Tazewell County, Illinois","132,450"
".Union County, Illinois","16,832"
".Vermilion County, Illinois","76,702"
".Wabash County, Illinois","11,523"
".Warren County, Illinois","16,992"
".Washington County, Illinois","13,999"
".Wayne County, Illinois","16,326"
".White County, Illinois","13,618"
".Whiteside County, Illinois","55,553"
".Will County, Illinois","691,149"
".Williamson County, Illinois","66,982"
".Winnebago County, Illinois","283,630"
".Woodford County, Illinois","38,527"
".Adams County, Indiana","35,595"
".Allen County, Indiana","375,079"
".Bartholomew County, Indiana","82,722"
".Benton County, Indiana","8,653"
".Blackford County, Indiana","11,924"
".Boone County, Indiana","66,930"
".Brown County, Indiana","15,230"
".Carroll County, Indiana","20,188"
".Cass County, Indiana","37,895"
".Clark County, Indiana","117,280"
".Clay County, Indiana","26,175"
